N,P,K,Crop
155,21,182,Tomato
144,15,114,Cotton
55,11,141,Sitaphal (Custard Apple)
131,18,115,Bajra (Pearl Millet)
156,25,181,Jackfruit
114,23,172,Pepper
87,23,177,Sapota
102,26,163,Tobacco
72,11,112,Sitaphal (Custard Apple)
107,29,147,Mustard
67,17,145,Sitaphal (Custard Apple)
66,19,92,Avare (Field Bean)
140,27,176,Garlic
110,22,120,Chillies
67,13,81,Sunhemp
175,27,236,Arecanut
166,24,114,Wheat
155,17,221,Coconut
73,18,93,Niger Seed
62,14,103,Green Gram (Moong)
116,21,158,Turmeric
198,27,101,Wheat
136,20,96,Ragi (Finger Millet)
126,29,181,Garlic
76,16,124,Mesta
152,22,156,Maize
154,21,193,Maize
199,24,216,Grapes
92,18,165,Pineapple
172,20,172,Jackfruit
180,26,257,Arecanut
68,20,110,Sunhemp
75,23,140,Tur (Arhar/Toor Dal)
96,18,114,Muskmelon
116,15,164,Safflower
95,24,160,Pineapple
110,19,130,Chillies
163,30,207,Mango
62,19,81,Cowpea
117,25,163,Garlic
105,16,199,Orange
184,24,277,Arecanut
65,15,115,Black Gram (Urad)
150,29,161,Onion
73,12,118,Cowpea
103,17,142,Castor
56,15,82,Black Gram (Urad)
65,15,114,Groundnut
94,23,122,Mesta
56,20,82,Cowpea
110,17,184,Safflower
112,23,107,Chillies
188,17,237,Potato
185,26,220,Mango
77,24,152,Sapota
105,21,186,Ginger
104,28,162,Ginger
72,16,128,Sitaphal (Custard Apple)
129,30,197,Garlic
118,24,131,Mustard
102,24,119,Castor
110,26,193,Pomegranate
61,27,109,Soybean
143,22,151,Ginger
99,17,158,Fig
171,18,292,Coconut
57,23,106,Bengal Gram (Chickpea)
106,13,105,Ragi (Finger Millet)
75,19,105,Tur (Arhar/Toor Dal)
58,23,100,Tur (Arhar/Toor Dal)
80,22,197,Sapota
131,25,180,Avocado
94,25,156,Fig
165,25,300,Banana
115,20,114,Bajra (Pearl Millet)
118,23,169,Garlic
76,19,145,Mesta
101,23,126,Chillies
151,24,284,Banana
189,25,266,Mango
73,14,83,Sunhemp
151,30,202,Grapes
76,24,154,Fig
87,16,197,Pineapple
137,27,151,Ginger
155,28,183,Jackfruit
92,16,291,Sweet Potato
131,29,170,Tobacco
189,17,123,Paddy
90,16,165,Fig
180,20,160,Jackfruit
103,17,131,Castor
111,19,83,Ragi (Finger Millet)
194,25,160,Maize
110,14,114,Jowar (Sorghum)
147,20,139,Mustard
65,11,112,Green Gram (Moong)
152,22,252,Potato
131,24,157,Pomegranate
55,17,121,Sitaphal (Custard Apple)
138,17,105,Cotton
72,13,106,Niger Seed
138,17,94,Jowar (Sorghum)
54,22,113,Avare (Field Bean)
103,20,150,Mustard
127,25,154,Pepper
146,21,131,Cotton
86,14,149,Linseed
180,29,191,Jackfruit
82,13,100,Watermelon
156,25,205,Arecanut
190,29,100,Wheat
105,23,196,Cabbage
104,20,104,Castor
110,27,179,Tobacco
137,18,121,Cotton
84,21,174,Pineapple
80,24,113,Mesta
101,19,193,Lemon
94,16,149,Mesta
133,25,153,Turmeric
74,18,119,Groundnut
193,25,178,Maize
193,27,222,Mango
106,24,184,Turmeric
157,25,257,Mango
90,17,151,Pineapple
75,17,138,Lichi
154,24,142,Wheat
136,12,170,Dragon Fruit
132,19,158,Orange
192,28,113,Wheat
103,24,193,Garlic
105,30,193,Garlic
114,20,150,Turmeric
83,23,154,Pineapple
131,16,88,Jowar (Sorghum)
156,18,211,Coconut
80,15,142,Linseed
99,17,120,Linseed
170,24,271,Potato
114,14,97,Ragi (Finger Millet)
122,20,156,Sunflower
170,28,253,Grapes
58,25,106,Bengal Gram (Chickpea)
54,27,109,Soybean
91,22,104,Mesta
118,19,137,Cotton
98,17,157,Tapioca
106,19,199,Sunflower
95,16,152,Pineapple
141,18,109,Castor
74,15,97,Cowpea
86,15,107,Lichi
150,21,213,Grapes
170,29,198,Onion
83,11,119,Linseed
190,28,185,Tomato
71,19,100,Horse Gram
67,24,111,Groundnut
185,22,182,Maize
60,14,86,Sunhemp
138,25,141,Cotton
60,13,99,Black Gram (Urad)
102,22,143,Castor
116,18,112,Chillies
57,17,85,Niger Seed
147,15,117,Bajra (Pearl Millet)
146,15,179,Sunflower
54,20,127,Groundnut
72,12,93,Niger Seed
74,17,145,Tur (Arhar/Toor Dal)
52,22,125,Soybean
132,28,134,Mustard
132,16,95,Navane (Foxtail Millet)
57,14,107,Green Gram (Moong)
92,16,146,Mesta
185,28,257,Mango
166,20,282,Banana
84,24,107,Mesta
74,18,99,Green Gram (Moong)
73,24,86,Bengal Gram (Chickpea)
113,26,184,Pomegranate
132,25,130,Mustard
140,22,182,Cabbage
111,16,184,Safflower
113,20,181,Turmeric
89,14,137,Linseed
178,25,225,Sugarcane
105,30,176,Turmeric
68,15,106,Coriander
124,21,159,Pepper
60,10,95,Green Gram (Moong)
196,25,207,Coconut
176,29,235,Mango
118,25,176,Ginger
68,13,132,Sitaphal (Custard Apple)
189,18,266,Banana
100,24,180,Cabbage
95,13,114,Muskmelon
182,20,218,Potato
114,15,135,Castor
122,29,169,Pepper
76,23,154,Sapota
66,13,114,Sunhemp
199,30,138,Wheat
138,29,108,Mustard
110,20,189,Turmeric
53,16,113,Tur (Arhar/Toor Dal)
98,20,191,Sapota
112,22,199,Ginger
147,23,156,Orange
53,10,93,Cowpea
149,29,165,Pepper
65,20,136,Tur (Arhar/Toor Dal)
76,21,160,Sapota
76,17,132,Lichi
111,17,94,Ragi (Finger Millet)
122,29,183,Tobacco
108,25,167,Guava
54,18,104,Niger Seed
110,15,154,Safflower
51,20,124,Groundnut
125,16,142,Castor
165,29,259,Mango
142,11,88,Bajra (Pearl Millet)
162,29,165,Onion
197,22,173,Tomato
55,14,102,Green Gram (Moong)
124,24,115,Chillies
150,28,198,Tomato
151,22,297,Banana
62,18,124,Groundnut
72,19,119,Niger Seed
71,15,138,Groundnut
108,30,200,Avocado
148,26,173,Pepper
181,19,238,Coconut
62,25,146,Groundnut
122,14,112,Jowar (Sorghum)
74,17,119,Coriander
183,16,185,Maize
78,21,84,Sesame
80,16,111,Cardamom
189,21,203,Arecanut
59,20,101,Green Gram (Moong)
133,24,109,Mustard
126,25,171,Sunflower
157,26,177,Jackfruit
124,25,157,Ginger
59,11,89,Green Gram (Moong)
157,24,267,Sugarcane
128,25,114,Mustard
73,20,130,Cashewnut
149,25,172,Cabbage
52,11,112,Green Gram (Moong)
86,12,160,Tapioca
72,12,80,Green Gram (Moong)
134,15,115,Bajra (Pearl Millet)
67,17,136,Cashewnut
180,22,275,Banana
165,21,197,Jackfruit
140,17,171,Cabbage
191,20,258,Banana
159,25,111,Paddy
159,30,155,Onion
71,13,98,Niger Seed
118,11,105,Ragi (Finger Millet)
159,21,253,Mango
113,10,88,Jowar (Sorghum)
71,23,111,Soybean
97,19,123,Mesta
60,16,105,Cashewnut
70,11,102,Black Gram (Urad)
100,17,175,Sapota
67,20,131,Sitaphal (Custard Apple)
97,10,136,Watermelon
91,17,80,Sesame
101,12,166,Dragon Fruit
75,20,126,Cardamom
153,17,257,Coconut
137,20,160,Tobacco
122,20,175,Sunflower
71,16,97,Cowpea
167,23,170,Jackfruit
125,24,157,Guava
197,23,221,Potato
138,30,165,Tobacco
83,25,258,Sweet Potato
137,16,100,Castor
74,10,114,Cowpea
58,12,116,Cowpea
194,23,233,Grapes
130,21,162,Cabbage
103,22,184,Ginger
148,18,173,Safflower
68,16,118,Niger Seed
169,30,277,Arecanut
185,21,168,Maize
132,24,152,Guava
117,23,200,Turmeric
93,13,165,Tapioca
114,24,164,Lemon
151,15,247,Sugarcane
84,18,141,Watermelon
104,24,109,Mustard
136,11,80,Navane (Foxtail Millet)
166,30,275,Grapes
72,19,125,Cashewnut
